store_code	id	price	quantity
SUPREMAARTE	4670	20,90 BRL	95
SUPREMAARTE	10731	37,90 BRL	2
SUPREMAARTE	10726	37,90 BRL	1
SUPREMAARTE	14192	8,90 BRL	5
SUPREMAARTE	14187	8,90 BRL	4
SUPREMAARTE	4722	18,90 BRL	17
SUPREMAARTE	10726	18,90 BRL	8
SUPREMAARTE	14316	39,90 BRL	2
SUPREMAARTE	14324	39,90 BRL	2
