store_code	id	price	quantity
RUKATEM	2986	94,90 BRL	5
RUKATEM	2987	137,90 BRL	5
RUKATEM	3029	28,90 BRL	5
RUKATEM	8573	2,40 BRL	5
RUKATEM	3589	3,50 BRL	5
RUKATEM	11217	7,00 BRL	5
RUKATEM	5060	39,90 BRL	5
RUKATEM	10866	48,90 BRL	5
RUKATEM	7100	7,90 BRL	5
RUKATEM	7141	8,90 BRL	5
RUKATEM	11415	19,90 BRL	5
RUKATEM	8692	249,90 BRL	5
