store_id	id	price	quantity
IDEALTRIX	015326-5	29,9	15
IDEALTRIX	015634-5	22	7
IDEALTRIX	015636-1	20	7
IDEALTRIX	016792-4	20	3
IDEALTRIX	130022-250	16,11	8
IDEALTRIX	160006-5	45	11
IDEALTRIX	160008-5	25	8
IDEALTRIX	160015-5	55	5
IDEALTRIX	160038-500	18	5
IDEALTRIX	160065-1	25	4
IDEALTRIX	31PCN	35	6
IDEALTRIX	340323-02	30	5
IDEALTRIX	5LA0002	15	5
IDEALTRIX	5LV0001	75	5
IDEALTRIX	5SL0001	69,9	10
IDEALTRIX	ACCE95	15	18
IDEALTRIX	ACD5	42,16	3
IDEALTRIX	ACEAC	8	14
IDEALTRIX	ACNC	29,9	4
IDEALTRIX	ADC1LS	15	7
IDEALTRIX	AEPLB	18	4
IDEALTRIX	AEPPCF	18	11
IDEALTRIX	AEPVE	18	9
IDEALTRIX	AFLB500	19,9	13
IDEALTRIX	AG5	55	3
IDEALTRIX	AM0001	20	7
IDEALTRIX	AMBC	48	21
IDEALTRIX	AMBLM	39,9	3
IDEALTRIX	AMRB	15	21
IDEALTRIX	AMRLM	39,9	3
IDEALTRIX	APCON	25	4
IDEALTRIX	APCS95	15	12
IDEALTRIX	APP0001	35	4
IDEALTRIX	APPR	8	11
IDEALTRIX	ASC02	13	3
IDEALTRIX	BABA-BLACK	55	4
IDEALTRIX	BABABLACK-REVENDA	62	4
IDEALTRIX	BDT0001	25	7
IDEALTRIX	BE5CL	50	6
IDEALTRIX	BE5RA	50	4
IDEALTRIX	BEA0003	55	7
IDEALTRIX	BEA5	99,9	7
IDEALTRIX	BEA6	125	6
IDEALTRIX	BEOAC8	75	3
IDEALTRIX	BIU0001	20	14
IDEALTRIX	BJVB5	49,9	5
IDEALTRIX	BL60001	59,9	5
IDEALTRIX	BLAAC8	98	3
IDEALTRIX	BLADF3M	195	3
IDEALTRIX	BLCPP	65	3
IDEALTRIX	BLPP8	16,5	3
IDEALTRIX	BMCRP	65	26
IDEALTRIX	BPBDF3M	165	3
IDEALTRIX	BPCPG	6,5	16
IDEALTRIX	C10930	35	10
IDEALTRIX	C10931	37	7
IDEALTRIX	C10935	35	3
IDEALTRIX	C10936	35	11
IDEALTRIX	C10939	18	3
IDEALTRIX	C10964	15	18
IDEALTRIX	C90106	42,16	3
IDEALTRIX	C90114	29,9	7
IDEALTRIX	C90416	20	5
IDEALTRIX	C90441	13	12
IDEALTRIX	CACC	45	11
IDEALTRIX	CBAAC	39,9	4
IDEALTRIX	CCC300	89,9	8
IDEALTRIX	CCHWP	75	10
IDEALTRIX	CCW150	55	11
IDEALTRIX	CEV0001	75	10
IDEALTRIX	CGNC	28,5	10
IDEALTRIX	CLT0002	120	7
IDEALTRIX	COUROQD500	38	11
IDEALTRIX	CPA	20	6
IDEALTRIX	CPF954	5	3
IDEALTRIX	CPR0001	150	5
IDEALTRIX	CSDB	125	15
IDEALTRIX	CSFCB	185	3
IDEALTRIX	CSRSF	180	5
IDEALTRIX	CST0001	250	4
IDEALTRIX	CTW3	75	24
IDEALTRIX	CXASC05	30	4
IDEALTRIX	CXDCAP05	18	3
IDEALTRIX	CXDMR05	18	4
IDEALTRIX	CXDRS05	18	3
IDEALTRIX	CXLPBL05	27	4
IDEALTRIX	CXLPK05	27	3
IDEALTRIX	CXMBA05	35	8
IDEALTRIX	CXOA05	35	5
IDEALTRIX	DAA0001	15	21
IDEALTRIX	DASCS5	75	9
IDEALTRIX	DBA001	55	6
IDEALTRIX	DBB030	75	5
IDEALTRIX	DBB032	98	3
IDEALTRIX	DBB034	50	10
IDEALTRIX	DBB050	80	6
IDEALTRIX	DBQ015	60	5
IDEALTRIX	DBS020	40	9
IDEALTRIX	DBS030	40	10
