store_code	id	price	availability
LOJINHADALOMA	15950736949	21,90BRL 	in_stock
LOJINHADALOMA	16039970969	16,90BRL 	in_stock
LOJINHADALOMA	15996482621	17,90BRL 	in_stock
LOJINHADALOMA	15996486507	17,90BRL 	in_stock
LOJINHADALOMA	15949037112	24,90BRL 	in_stock
LOJINHADALOMA	16039970971	17,90BRL 	in_stock
LOJINHADALOMA	15949041519	27,90BRL 	in_stock
LOJINHADALOMA	15996496507	15,90BRL 	in_stock
LOJINHADALOMA	15996499238	17,90BRL 	in_stock
LOJINHADALOMA	16082177683	17,90BRL 	in_stock
LOJINHADALOMA	16039970972	17,90BRL 	in_stock
LOJINHADALOMA	16006785155	36,90BRL 	in_stock
LOJINHADALOMA	16082177686	16,90BRL 	in_stock
LOJINHADALOMA	15950762434	36,90BRL 	in_stock
LOJINHADALOMA	15950765756	19,90BRL 	in_stock
LOJINHADALOMA	15949310621	24,90BRL 	in_stock
LOJINHADALOMA	15996474555	29,90BRL 	in_stock
LOJINHADALOMA	15952840384	17,90BRL 	in_stock
LOJINHADALOMA	15950315353	22,90BRL 	in_stock
LOJINHADALOMA	15950744250	36,90BRL 	in_stock
LOJINHADALOMA	15950740445	49,90BRL 	in_stock
LOJINHADALOMA	15950747404	22,50BRL 	in_stock
LOJINHADALOMA	16090693048	29,90BRL 	in_stock
LOJINHADALOMA	15950016387	56,90BRL 	in_stock
LOJINHADALOMA	15950023996	56,90BRL 	in_stock
LOJINHADALOMA	15950020693	56,90BRL 	in_stock
LOJINHADALOMA	15950116788	89,90BRL 	in_stock
LOJINHADALOMA	15942846041	4,90BRL 	in_stock
LOJINHADALOMA	15950092837	79,90BRL 	in_stock
LOJINHADALOMA	15949433038	10,00BRL 	in_stock
LOJINHADALOMA	16082177698	2,90BRL 	in_stock
LOJINHADALOMA	15948680543	8,00BRL 	in_stock
LOJINHADALOMA	16085318839	10,00BRL 	in_stock
LOJINHADALOMA	16081308607	10,00BRL 	in_stock
LOJINHADALOMA	15942414790	2,50BRL 	in_stock
LOJINHADALOMA	15942411866	2,50BRL 	in_stock
LOJINHADALOMA	15942418749	2,50BRL 	in_stock
LOJINHADALOMA	15942421108	2,50BRL 	in_stock
LOJINHADALOMA	15948817803	5,90BRL 	in_stock
LOJINHADALOMA	15949736268	1,50BRL 	in_stock
LOJINHADALOMA	15949319671	1,20BRL 	in_stock
LOJINHADALOMA	15949321613	1,20BRL 	in_stock
LOJINHADALOMA	15949324849	19,90BRL 	in_stock
LOJINHADALOMA	15949329429	8,50BRL 	in_stock
LOJINHADALOMA	15949331037	11,90BRL 	in_stock
LOJINHADALOMA	16039970973	1,50BRL 	in_stock
LOJINHADALOMA	16039970974	1,50BRL 	in_stock
LOJINHADALOMA	16062749416	1,50BRL 	in_stock
LOJINHADALOMA	15949705976	4,90BRL 	in_stock
LOJINHADALOMA	15949436619	4,00BRL 	in_stock
LOJINHADALOMA	15948799807	4,90BRL 	in_stock
LOJINHADALOMA	15948800318	4,90BRL 	in_stock
LOJINHADALOMA	15944803493	21,90BRL 	in_stock
LOJINHADALOMA	15949337850	16,90BRL 	in_stock
LOJINHADALOMA	15948818693	2,90BRL 	in_stock
LOJINHADALOMA	15948718606	6,50BRL 	in_stock
LOJINHADALOMA	15949339983	1,90BRL 	in_stock
LOJINHADALOMA	15949694790	1,90BRL 	in_stock
LOJINHADALOMA	15950108071	2,90BRL 	in_stock
LOJINHADALOMA	15950110481	11,00BRL 	in_stock
LOJINHADALOMA	15949724555	4,00BRL 	in_stock
LOJINHADALOMA	15949485785	2,90BRL 	in_stock
LOJINHADALOMA	15943514799	19,90BRL 	in_stock
LOJINHADALOMA	16062749417	8,90BRL 	in_stock
LOJINHADALOMA	15944805351	7,90BRL 	in_stock
LOJINHADALOMA	15942180068	8,90BRL 	in_stock
LOJINHADALOMA	15944806968	13,90BRL 	in_stock
LOJINHADALOMA	16039970975	13,90BRL 	in_stock
LOJINHADALOMA	15949346404	7,50BRL 	in_stock
LOJINHADALOMA	15949349563	54,90BRL 	in_stock
LOJINHADALOMA	16082177705	4,90BRL 	in_stock
LOJINHADALOMA	15949950745	47,00BRL 	in_stock
LOJINHADALOMA	16039970978	4,90BRL 	in_stock
LOJINHADALOMA	15944808113	7,50BRL 	in_stock
LOJINHADALOMA	15942863182	8,00BRL 	in_stock
LOJINHADALOMA	15950100660	59,90BRL 	in_stock
LOJINHADALOMA	15950102665	34,90BRL 	in_stock
LOJINHADALOMA	16004853656	15,90BRL 	in_stock
LOJINHADALOMA	15949983621	11,90BRL 	in_stock
LOJINHADALOMA	16004853685	19,90BRL 	in_stock
LOJINHADALOMA	15949975966	14,90BRL 	in_stock
LOJINHADALOMA	15949979915	14,90BRL 	in_stock
