ATUALIZAR 																																										
ID	C?digo (SKU)	Descri??o	Unidade	Classifica??o fiscal	Origem	Pre?o	Valor IPI fixo	Observa??es	Situa??o	Estoque	Pre?o de custo	C?d do Fornecedor	Fornecedor	Localiza??o	Estoque m?ximo	Estoque m?nimo	Peso l?quido (Kg)	Peso bruto (Kg)	GTIN/EAN	GTIN/EAN tribut?vel	Descri??o complementar	CEST	C?digo de Enquadramento IPI	Formato embalagem	Largura embalagem	Altura embalagem	Comprimento embalagem	Di?metro embalagem	Tipo do produto	URL imagem 1	URL imagem 2	URL imagem 3	URL imagem 4	URL imagem 5	URL imagem 6	Categoria	C?digo do pai	Varia??es	Marca	Garantia	Sob encomenda	Pre?o promocional
592033668	1095	ABRA?ADEIRA DE ALAVANCA DE TORPEDO | 001095	Un	8714.91.00	2 - Estrangeira - Adquirida no mercado interno, exceto a indicada no c?digo 7	3	0	W SUL 01/20;cairu 02/21;	Ativo	0	0.52				0	2	0	0	7908304802111		<p>ABRA?ADEIRA CONTRA PEDAL COM PARAFUSO - VELO </p>			Pacote / Caixa	0	0	0	0	S	https://anexos.tiny.com.br/erp/NTY5MTc1MzA4/21400677a7922a1343aeb63b7b2cfe42.jpg						Pe?as e Componentes > Torpedo/Contra pedal			UNICICLE		N?o	0
592036055	901222	ABRA?ADEIRA DE CAMBIO SPEED 31,8MM | 901222	Un	8714.91.00	2 - Estrangeira - Adquirida no mercado interno, exceto a indicada no c?digo 7	49	0	;	Ativo	1	10				0	0	0	0						Pacote / Caixa	0	0	0	0	S	https://anexos.tiny.com.br/erp/NTY5MTc1MzA4/60fecdaafe7d295d74ac72e663b89d02.jpeg						Pe?as e Componentes > Abra?adeiras			TAIWAN		N?o	0
592031137	510	ABRA?ADEIRA DE QUADRO 28,6 PRETA | 000510	Un	8714.99.90	2 - Estrangeira - Adquirida no mercado interno, exceto a indicada no c?digo 7	7	0	;ALUM?NIO	Ativo	3	4				0	0	0	0						Pacote / Caixa	0	0	0	0	S	https://anexos.tiny.com.br/erp/NTY5MTc1MzA4/1276680bcf87869594e51af76e577b4e.png						Pe?as e Componentes > Abra?adeiras			CHINA		N?o	0
592033591	1034	ABRA?ADEIRA DE QUADRO 28,6MM ALUM?NIO VERMELHA | 001034	Un	8714.91.00	2 - Estrangeira - Adquirida no mercado interno, exceto a indicada no c?digo 7	12	0	;ALUM?NIO	Ativo	1	0.07				0	0	0	0						Pacote / Caixa	0	0	0	0	S	https://anexos.tiny.com.br/erp/NTY5MTc1MzA4/a5a81681761cc86e42b57f1d8c5bfc52.jpeg						Pe?as e Componentes > Abra?adeiras			GTS		N?o	0
592035231	572708	ABRA?ADEIRA DE QUADRO 28,6MM VENZO PRETA | 572708	Un	8714.99.90	2 - Estrangeira - Adquirida no mercado interno, exceto a indicada no c?digo 7	14	0	W SUL 06/19;W SUL	Ativo	0	8.36				0	0	0	0						Pacote / Caixa	0	0	0	0	S	https://anexos.tiny.com.br/erp/NTY5MTc1MzA4/5ec860431ce5e5f57b13c58d613dc7c4.jpeg						Pe?as e Componentes > Abra?adeiras			VENZO		N?o	0
592033716	11985	ABRA?ADEIRA DE QUADRO 31,8 MM PRETA | 011985	Un	8714.91.00	2 - Estrangeira - Adquirida no mercado interno, exceto a indicada no c?digo 7	9	0	JR 04/20;JR 03/20;JR 08/20;ALUMINIO	Ativo	22	4.59				0	2	0	0	6970288070030					Pacote / Caixa	0	0	0	0	S	https://anexos.tiny.com.br/erp/NTY5MTc1MzA4/de09409ece03037ee2346dbd25a2113f.jpg						Pe?as e Componentes > Abra?adeiras			SOUTH		N?o	0
592033247	838	ABRA?ADEIRA DE QUADRO 34,9MM PRETA | 000838	Un	8714.91.00	2 - Estrangeira - Adquirida no mercado interno, exceto a indicada no c?digo 7	10	0	ISAPA 10/19;cairu 05/21;	Ativo	6	4.45				0	0	0	0						Pacote / Caixa	0	0	0	0	S	https://anexos.tiny.com.br/erp/NTY5MTc1MzA4/8bcd214ed402347470610efe183e7daa.jpeg						Pe?as e Componentes > Abra?adeiras			PROMAX		N?o	0
592035143	54991	ABRA?ADEIRA DE QUADRO 34,9MM WG SPORTS PRETA | 054991	Un	8714.91.00	2 - Estrangeira - Adquirida no mercado interno, exceto a indicada no c?digo 7	10	0	adm 11/20;w sul 05/21;	Ativo	16	5.99				0	2	0	0	6015644077008		<p>? Abra?adeira 34.9 para Canote de Selim 31.6</p> <p>? Abra?adeira de Blocagem R?pida</p> <p>? Material: Alum?no</p> <p>? Cor: preto</p> <p>? Peso 39g</p>			Pacote / Caixa	0	0	0	0	S	https://anexos.tiny.com.br/erp/NTY5MTc1MzA4/007627358d4dd67f3be41a3486c359cc.jpg	https://anexos.tiny.com.br/erp/NTY5MTc1MzA4/665df7d12dfff2c6e8f8fafa280dc485.jpg					Pe?as e Componentes > Abra?adeiras			WG SPORTS		N?o	0
592035302	7853	ABRA?ADEIRA DE QUADRO 34.9MM TRANS-X BRANCA | 007853	Un	8714.99.90	2 - Estrangeira - Adquirida no mercado interno, exceto a indicada no c?digo 7	15	0	W SUL 06/21;	Ativo	2	8.56				0	0	0	0						Pacote / Caixa	0	0	0	0	S	https://anexos.tiny.com.br/erp/NTY5MTc1MzA4/c95615c54e81977c636f7eb886bee608.jpeg						Pe?as e Componentes > Abra?adeiras			TRANZ X		N?o	0
592035047	50226	ABRA?ADEIRA DE QUADRO 34.9MM VENZO BRANCA | 050226	Un	8714.91.00	2 - Estrangeira - Adquirida no mercado interno, exceto a indicada no c?digo 7	14	0	W SUL 08/20;w sul 10/20;	Ativo	1	6.24				0	0	0	0						Pacote / Caixa	0	0	0	0	S	https://anexos.tiny.com.br/erp/NTY5MTc1MzA4/df692ddc198d0932dc2c82fdf68713e3.jpeg						Pe?as e Componentes > Abra?adeiras			VENZO		N?o	0
